"자치구별(1)",자치구별(2),소계,소계,소계,매개시설,매개시설,매개시설,내부시설,내부시설,내부시설,위생시설,위생시설,위생시설,안내시설,안내시설,안내시설,기타시설,기타시설,기타시설
"자치구별(1)",자치구별(2),대상 (개),전체 (개),전체 (%),대상 (개),매개시설 (개),매개시설 (%),대상 (개),내부시설 (개),내부시설 (%),대상 (개),위생시설 (개),위생시설 (%),대상 (개),안내시설 (개),안내시설 (%),대상 (개),기타시설 (개),기타시설 (%)
"합계",소계,90643,89958,99.24,28092,27925,99.41,42676,42487,99.56,17518,17227,98.34,1506,1499,99.54,851,820,96.36
"합계",종로구,3115,3059,98.20,751,743,98.93,1367,1347,98.54,770,743,96.49,114,114,100.00,113,112,99.12
"합계",중구,3182,3146,98.87,753,753,100.00,1388,1387,99.93,731,699,95.62,157,157,100.00,153,150,98.04
"합계",용산구,1956,1956,100.00,686,686,100.00,924,924,100.00,300,300,100.00,20,20,100.00,26,26,100.00
"합계",성동구,2976,2931,98.49,689,684,99.27,1287,1260,97.90,916,909,99.24,62,62,100.00,22,16,72.73
"합계",광진구,2410,2347,97.39,1250,1235,98.80,1123,1075,95.73,37,37,100.00,,,,,,
"합계",동대문구,2969,2956,99.56,855,844,98.71,1461,1459,99.86,586,586,100.00,35,35,100.00,32,32,100.00
"합계",중랑구,3305,3286,99.43,1217,1213,99.67,1642,1638,99.76,422,411,97.39,14,14,100.00,10,10,100.00
"합계",성북구,2845,2831,99.51,935,927,99.14,1321,1317,99.70,431,429,99.54,61,61,100.00,97,97,100.00
"합계",강북구,1372,1372,100.00,371,371,100.00,766,766,100.00,203,203,100.00,32,32,100.00,,,
"합계",도봉구,1749,1723,98.51,604,583,96.52,823,822,99.88,299,297,99.33,23,21,91.30,,,
"합계",노원구,1916,1875,97.86,524,524,100.00,804,780,97.01,492,476,96.75,49,49,100.00,47,46,97.87
"합계",은평구,3335,3306,99.13,1185,1181,99.66,1624,1613,99.32,467,454,97.22,35,35,100.00,24,23,95.83
"합계",서대문구,1318,1316,99.85,428,426,99.53,596,596,100.00,250,250,100.00,21,21,100.00,23,23,100.00
"합계",마포구,3299,3275,99.27,1070,1059,98.97,1576,1569,99.56,591,590,99.83,39,36,92.31,23,21,91.30
"합계",양천구,3274,3272,99.94,971,971,100.00,1664,1664,100.00,559,558,99.82,71,71,100.00,9,8,88.89
"합계",강서구,4793,4789,99.92,1816,1813,99.83,2309,2309,100.00,647,646,99.85,21,21,100.00,,,
"합계",구로구,4077,4064,99.68,1227,1214,98.94,2015,2015,100.00,740,740,100.00,42,42,100.00,53,53,100.00
"합계",금천구,4310,4310,100.00,1458,1458,100.00,2130,2130,100.00,680,680,100.00,42,42,100.00,,,
"합계",영등포구,5664,5623,99.28,1512,1512,100.00,2737,2736,99.96,1143,1113,97.38,177,177,100.00,95,85,89.47
"합계",동작구,1758,1752,99.66,558,556,99.64,838,835,99.64,327,326,99.69,29,29,100.00,6,6,100.00
"합계",관악구,2660,2600,97.74,851,842,98.94,1241,1239,99.84,502,458,91.24,57,57,100.00,9,4,44.44
"합계",서초구,6867,6840,99.61,1964,1954,99.49,3097,3097,100.00,1740,1725,99.14,66,64,96.97,,,
"합계",강남구,10652,10566,99.19,3042,3018,99.21,4601,4590,99.76,2762,2711,98.15,196,196,100.00,51,51,100.00
"합계",송파구,5157,5104,98.97,1703,1692,99.35,2468,2453,99.39,897,870,96.99,65,65,100.00,24,24,100.00
"합계",강동구,5684,5659,99.56,1672,1666,99.64,2874,2866,99.72,1026,1016,99.03,78,78,100.00,34,33,97.